Package,LibPath,Version,Priority,Built
askpass,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
assertthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
backports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.5,NA,3.6.0
base,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
base64enc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-3,NA,3.6.0
BH,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.72.0-3,NA,3.6.0
boot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-23,recommended,3.6.2
broom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.4,NA,3.6.2
callr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.4.1,NA,3.6.2
cellranger,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
class,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-15,recommended,3.6.2
cli,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1,NA,3.6.0
clipr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7.0,NA,3.6.0
clisymbols,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.0
cluster,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.0,recommended,3.6.2
codetools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2-16,recommended,3.6.2
colorspace,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-1,NA,3.6.0
compiler,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
crayon,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.4,NA,3.6.0
curl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.3,NA,3.6.0
data.table,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.12.8,NA,3.6.0
datasets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
DBI,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.2,NA,3.6.0
desc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.0
digest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6.23,NA,3.6.0
dplyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.3,NA,3.6.0
ellipsis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
evaluate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14,NA,3.6.0
fansi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.1,NA,3.6.0
farver,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
forcats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.0,NA,3.6.0
foreign,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8-72,recommended,3.6.2
